alpha2;year;p2;shweal992i;ahweal992i
GB;1906;p99.5p100;.6129244995117188;
GB;1907;p99.5p100;.5917206954956055;
GB;1908;p99.5p100;.5717227935791016;
GB;1909;p99.5p100;.5928261184692383;
GB;1910;p99.5p100;.5778527832031251;
GB;1911;p99.5p100;.5608994293212891;4120624.878919305
GB;1912;p99.5p100;.5790266418457031;4332738.437294486
GB;1913;p99.5p100;.5515862274169921;4182779.239718759
GB;1914;p99.5p100;.5517393493652344;4470864.222764304
GB;1919;p99.5p100;.5242906188964844;
GB;1920;p99.5p100;.4558029937744141;2069517.235025532
GB;1921;p99.5p100;.5053981399536133;
GB;1922;p99.5p100;.5150453567504882;
GB;1923;p99.5p100;.5043431091308593;
GB;1924;p99.5p100;.4944193267822266;3130250.862654864
GB;1925;p99.5p100;.5052352142333985;3337805.446595566
GB;1926;p99.5p100;.4664360809326172;3125181.063246949
GB;1927;p99.5p100;.4860908508300781;3492065.407580516
GB;1928;p99.5p100;.4610710906982422;3231513.987056068
GB;1929;p99.5p100;.4587992858886719;3051811.407595269
GB;1930;p99.5p100;.4697943878173828;3468995.667839115
GB;1931;p99.5p100;.4262105178833008;
GB;1932;p99.5p100;.4430931472778321;
GB;1933;p99.5p100;.4602772521972656;
GB;1934;p99.5p100;.434149398803711;
GB;1935;p99.5p100;.4356567764282226;
GB;1936;p99.5p100;.4213702392578125;3485441.893245645
GB;1937;p99.5p100;.42631103515625;
