currency;lcu_to_usd;year
BYR;2,156936e+03;2005
BZD;1,980000e+00;2005
CAD;1,163166e+00;2005
CDF;4,398491e+02;2005
CHF;1,316058e+00;2005
CLP;5,156440e+02;2005
CNY;8,071844e+00;2005
COP;2,288629e+03;2005
CRC;4,986807e+02;2005
CVE;9,346613e+01;2005
CYP;4,878240e-01;2005
CZK;2,458624e+01;2005
DJF;1,777210e+02;2005
DKK;6,317783e+00;2005
DOP;3,362062e+01;2005
DZD;7,484360e+01;2005
EEK;1,328960e+01;2005
EGP;6,039157e+00;2005
ETB;8,823952e+00;2005
EUR;8,463370e-01;2005
FJD;1,809189e+00;2005
FKP;5,811050e-01;2005
GBP;5,811050e-01;2005
GEL;1,780080e+00;2005
GIP;5,729420e-01;2005
GMD;2,925413e+01;2005
GNF;4,314661e+03;2005
GTQ;7,960333e+00;2005
GYD;1,818479e+02;2005
HKD;7,753813e+00;2005
HNL;1,886278e+01;2005
HRK;6,237612e+00;2005
HTG;4,226001e+01;2005
HUF;2,138764e+02;2005
IDR;9,816961e+03;2005
IEP;7,327390e-01;2005
ILS;4,635569e+00;2005
INR;4,506447e+01;2005
IQD;1,476205e+03;2005
IRR;9,111923e+03;2005
ISK;6,321099e+01;2005
JMD;6,523396e+01;2005
JOD;7,087500e-01;2005
JPY;1,178332e+02;2005
KES;7,266186e+01;2005
KGS;4,127092e+01;2005
KHR;4,186064e+03;2005
KMF;4,170281e+02;2005
KPW;2,234551e+00;2005
KRW;1,005525e+03;2005
KWD;2,965120e-01;2005
KZT;1,343103e+02;2005
LAK;1,045945e+04;2005
LBP;1,540398e+03;2005
LKR;1,000246e+02;2005
LRD;4,922002e+01;2005
LSL;6,737215e+00;2005
LTL;2,926846e+00;2005
LVL;5,957480e-01;2005
LYD;1,382640e+00;2005
MAD;9,495550e+00;2005
MDL;1,281580e+01;2005
MKD;5,201695e+01;2005
MMK;6,357464e+00;2005
MNT;1,138222e+03;2005
MOP;7,996363e+00;2005
MRO;2,697320e+02;2005
MTL;3,629460e-01;2005
MUR;3,058740e+01;2005
MVR;1,279000e+01;2005
MWK;1,257815e+02;2005
MXN;1,068831e+01;2005
MYR;3,779133e+00;2005
NAD;6,684498e+00;2005
NGN;1,307880e+02;2005
NIO;1,618499e+01;2005
NOK;6,759635e+00;2005
NPR;7,424744e+01;2005
NZD;1,465316e+00;2005
OMR;3,844970e-01;2005
PAB;1,000000e+00;2005
PEN;3,537303e+00;2005
PGK;3,282190e+00;2005
PHP;5,311766e+01;2005
PKR;5,993394e+01;2005
PLN;3,272018e+00;2005
PYG;6,013385e+03;2005
QAR;3,640000e+00;2005
RON;3,117047e+00;2005
RUB;2,864804e+01;2005
RWF;5,459535e+02;2005
SAR;3,750150e+00;2005
SBD;7,621480e+00;2005
SCR;5,339546e+00;2005
SEK;7,954890e+00;2005
SGD;1,663257e+00;2005
SHP;5,811050e-01;2005
SIT;2,025456e+02;2005
SKK;3,200243e+01;2005
SLL;2,445524e+03;2005
SOS;1,728021e+03;2005
STD;7,334055e+03;2005
SVC;8,820664e+00;2005
SYP;5,216894e+01;2005
SZL;6,701867e+00;2005
THB;4,103462e+01;2005
TJS;2,782809e+00;2005
TND;1,393829e+00;2005
TOP;2,044788e+00;2005
TRY;1,349543e+00;2005
TTD;6,251750e+00;2005
TWD;3,330059e+01;2005
TZS;1,162228e+03;2005
UAH;5,545478e+00;2005
UGX;1,818002e+03;2005
USD;1,000000e+00;2005
UYU;2,423064e+01;2005
UZS;1,175273e+03;2005
VEF;2,150000e+00;2005
VND;1,645715e+04;2005
VUV;1,143747e+02;2005
WST;2,816508e+00;2005
XAF;5,551910e+02;2005
XCD;2,689262e+00;2005
XDR;6,991580e-01;2005
XOF;5,560936e+02;2005
